mins,fgm,fga,3pm,3pa,ftm,fta,dreb,oreb,reb,ast,stl,blk,to,pf,+/-,pts
20,1,9,1,6,1,9,1,2,3,2,0,1,1,0,16,9
29,9,16,1,2,9,16,0,1,1,2,1,0,2,1,16,21
29,5,13,1,3,5,13,0,1,1,4,0,0,0,0,21,15
25,3,5,0,0,3,5,2,3,5,3,1,0,0,2,2,8
15,3,8,0,0,3,8,2,1,3,1,0,0,1,1,0,6
19,2,4,0,0,2,4,0,1,1,0,1,2,1,1,-8,8
30,7,12,0,0,7,12,4,3,7,2,0,3,1,3,-15,18
20,1,4,0,0,1,4,3,3,6,2,0,3,0,2,-9,5
21,1,3,0,0,1,3,1,5,6,2,1,1,0,1,5,4
14,1,2,0,0,1,2,1,3,4,0,0,0,1,5,-6,5
23,2,5,0,0,2,5,1,3,4,3,0,2,0,1,-3,6
20,4,7,0,0,4,7,2,4,6,0,1,0,3,2,-14,8
6,0,0,0,0,0,0,1,1,2,1,0,1,2,0,-1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,2,0,0,0,2,4,3,7,0,2,0,1,1,-3,0
14,1,3,0,0,1,3,2,5,7,0,0,0,1,1,-3,2
13,2,4,0,0,2,4,2,5,7,0,0,2,2,3,-2,4
15,2,5,0,0,2,5,4,2,6,0,0,0,1,2,1,6
21,3,7,0,0,3,7,1,3,4,2,0,0,2,3,-8,9
9,0,1,0,0,0,1,0,3,3,0,0,1,0,2,-11,0
16,3,5,0,0,3,5,0,2,2,0,1,0,0,2,-8,6
7,0,2,0,0,0,2,0,1,1,1,0,2,0,3,-1,0
14,2,5,0,0,2,5,3,2,5,1,0,0,0,3,-11,4
30,8,16,6,10,8,16,4,2,6,1,2,0,0,6,-10,25
26,5,12,4,10,5,12,0,4,4,3,1,0,2,4,14,16
46,3,9,3,7,3,9,0,5,5,1,1,2,3,4,-8,11
30,2,8,2,7,2,8,0,11,11,1,3,0,4,3,-2,8
32,7,15,5,12,7,15,1,4,5,1,0,0,2,4,10,19
36,2,6,1,3,2,6,1,7,8,1,1,2,1,4,-18,8
36,5,11,2,7,5,11,1,12,13,1,2,1,0,2,8,12
34,6,15,6,13,6,15,1,7,8,1,1,0,4,4,-14,25
27,9,16,0,0,9,16,3,4,7,0,1,1,3,2,-15,21
34,9,15,0,0,9,15,4,2,6,4,2,1,0,3,10,19
32,9,15,0,0,9,15,2,5,7,0,0,0,2,2,-4,21
33,5,11,0,0,5,11,1,3,4,2,1,1,1,1,9,12
29,12,16,0,0,12,16,0,10,10,1,0,0,3,4,22,25
26,10,17,0,0,10,17,0,7,7,0,2,2,1,2,-7,20
38,9,17,0,0,9,17,1,4,5,1,1,1,3,0,1,20
21,6,7,0,0,6,7,0,1,1,0,0,0,2,2,-4,13
30,5,10,0,0,5,10,3,3,6,1,0,2,1,3,-16,10
6,0,1,0,0,0,1,0,0,0,0,0,0,0,1,5,0
26,3,6,2,5,3,6,0,0,0,1,1,0,0,0,-3,10
18,2,6,1,4,2,6,0,1,1,1,2,1,2,0,-2,5
17,1,4,0,2,1,4,0,0,0,3,0,0,1,1,15,2
19,2,5,2,5,2,5,0,1,1,1,0,1,1,2,4,7
18,4,6,2,3,4,6,0,0,0,1,0,0,0,2,-3,10
19,2,9,2,8,2,9,0,1,1,2,3,0,0,1,8,6
20,3,5,2,4,3,5,0,0,0,1,0,0,0,0,18,8
20,3,7,3,7,3,7,0,3,3,1,0,0,0,1,-7,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2,7,2,7,2,7,1,0,1,1,0,0,1,2,5,6
18,0,1,0,0,0,1,0,6,6,0,0,4,1,3,10,0
18,1,1,0,0,1,1,1,3,4,0,0,2,0,1,0,2
21,3,4,0,0,3,4,2,4,6,1,0,1,1,3,10,11
20,3,3,0,0,3,3,0,5,5,0,0,2,1,4,12,7
16,1,1,0,0,1,1,0,4,4,0,1,3,2,1,-12,3
21,1,3,0,0,1,3,1,7,8,1,0,2,1,2,2,2
23,4,6,0,0,4,6,3,6,9,0,0,0,2,1,24,10
19,1,2,0,0,1,2,0,6,6,1,1,1,0,2,19,5
20,2,3,0,0,2,3,0,2,2,0,0,1,0,2,12,5
21,3,6,0,0,3,6,3,10,13,0,0,3,0,2,14,12
15,1,2,1,1,1,2,0,1,1,1,0,0,1,3,3,3
22,2,3,0,0,2,3,2,1,3,3,1,1,1,1,2,7
14,0,4,0,2,0,4,0,2,2,2,0,1,0,0,-11,0
24,3,14,0,5,3,14,0,0,0,2,0,0,1,2,-8,10
16,3,5,0,1,3,5,0,1,1,0,0,0,1,0,-3,9
7,0,0,0,0,0,0,0,2,2,1,0,0,1,1,6,0
8,2,3,1,2,2,3,1,2,3,0,0,0,0,1,5,5
17,4,7,1,2,4,7,1,0,1,0,0,0,0,1,2,11
21,1,2,0,0,1,2,0,1,1,1,1,1,2,2,-9,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,-1,0
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
20,1,3,1,2,1,3,0,3,3,1,0,1,0,3,7,3
9,0,1,0,1,0,1,0,0,0,1,0,0,0,0,-11,0
18,1,4,0,1,1,4,0,2,2,3,0,1,0,2,-2,2
15,2,4,1,3,2,4,0,1,1,0,1,0,1,0,-12,5
18,1,3,0,1,1,3,1,0,1,0,0,0,0,1,4,4
12,0,2,0,0,0,2,1,1,2,0,0,0,1,2,-3,0
9,0,3,0,2,0,3,0,1,1,2,0,0,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2,4,1,3,2,4,0,0,0,2,0,0,0,0,-4,5
4,0,3,0,1,0,3,0,0,0,0,0,0,0,0,-10,0
15,2,2,1,1,2,2,1,2,3,3,2,0,1,1,9,5
14,2,5,2,3,2,5,0,2,2,1,0,0,0,0,8,6
24,1,4,1,2,1,4,1,1,2,3,3,0,2,3,-1,3
18,5,8,3,6,5,8,0,2,2,3,1,0,2,1,-8,13
19,1,6,0,1,1,6,1,1,2,0,0,0,0,2,-8,2
32,4,14,1,2,4,14,4,0,4,4,1,0,0,1,-11,10
20,5,9,1,2,5,9,0,3,3,1,1,1,0,4,8,13
