Raul Neto: [17.85 mins, 2.77/5.82 fg, 0.59/2.14 3p, 1.25/1.98 ft, 0.47 dreb, 1.38 oreb, 1.56 reb, 1.67 ast, 0.69 stl, 0.11 blk, 0.88 TO, 0.97 PF, 1.57 +/-, 7.27 pts] FANDUEL: 12.37, PG, 3500, 11.68
Shelvin Mack: [28.99 mins, 4.80/10.32 fg, 3.29/3.65 3p, 2.14/1.98 ft, 0.99 dreb, 3.53 oreb, 4.28 reb, 5.52 ast, 0.69 stl, 0.16 blk, 2.02 TO, 2.08 PF, 2.71 +/-, 12.45 pts] FANDUEL: 25.53, PG, 6200, 14.11
Trey Burke: [8.99 mins, 1.49/3.89 fg, 0.30/1.77 3p, 0.63/0.78 ft, 0.44 dreb, 0.76 oreb, 1.06 reb, 0.85 ast, 0.10 stl, 0.04 blk, 0.26 TO, 0.89 PF, 0.65 +/-, 4.34 pts] FANDUEL: 6.91, PG, 3500, 16.34
Jared Sullinger: [22.92 mins, 4.49/10.08 fg, 0.12/1.29 3p, 2.19/1.98 ft, 1.60 dreb, 5.09 oreb, 7.12 reb, 2.14 ast, 0.69 stl, 0.56 blk, 1.27 TO, 2.65 PF, 2.32 +/-, 12.70 pts] FANDUEL: 25.69, PF, 6100, 26.37
Toney Douglas: [25.91 mins, 3.81/8.47 fg, 1.45/4.14 3p, 1.68/1.98 ft, 0.68 dreb, 2.68 oreb, 3.13 reb, 3.59 ast, 0.69 stl, 0.16 blk, 0.94 TO, 3.11 PF, -2.11 +/-, 9.98 pts] FANDUEL: 19.89, PG, 4800, 13.59
Damien Inglis: [9.48 mins, 1.10/2.32 fg, 0.02/0.46 3p, 0.38/0.21 ft, 0.45 dreb, 1.13 oreb, 1.49 reb, 0.66 ast, 0.31 stl, 0.11 blk, 0.52 TO, 1.42 PF, -1.68 +/-, 2.59 pts] FANDUEL: 5.70, SF, 3700, 4.25
Isaiah Thomas: [32.73 mins, 7.87/17.08 fg, 1.83/5.67 3p, 4.30/4.76 ft, 0.75 dreb, 3.23 oreb, 3.67 reb, 4.42 ast, 1.03 stl, 0.16 blk, 2.31 TO, 2.08 PF, 2.07 +/-, 22.73 pts] FANDUEL: 33.83, PG, 7700, 35.03
Derrick Williams: [18.42 mins, 3.09/6.66 fg, 0.59/1.29 3p, 1.44/2.51 ft, 0.77 dreb, 2.62 oreb, 3.37 reb, 1.66 ast, 0.47 stl, 0.16 blk, 0.81 TO, 1.13 PF, -0.68 +/-, 8.51 pts] FANDUEL: 15.51, PF, 3800, 14.73
Alexis Ajinca: [12.23 mins, 1.53/3.49 fg, 0.02/0.02 3p, 0.64/0.78 ft, 0.79 dreb, 2.27 oreb, 3.13 reb, 0.57 ast, 0.31 stl, 0.67 blk, 0.52 TO, 1.51 PF, 0.22 +/-, 3.92 pts] FANDUEL: 9.99, C, 3500, 10.97
Ryan Anderson: [31.85 mins, 6.52/15.47 fg, 2.87/4.93 3p, 3.49/3.25 ft, 1.31 dreb, 4.79 oreb, 6.17 reb, 2.47 ast, 1.24 stl, 0.56 blk, 0.81 TO, 2.07 PF, -0.53 +/-, 18.58 pts] FANDUEL: 32.48, PF, 6100, 26.43
Lance Thomas: [24.94 mins, 3.04/6.68 fg, 0.59/2.14 3p, 1.14/1.98 ft, 0.82 dreb, 2.77 oreb, 3.48 reb, 1.43 ast, 0.47 stl, 0.16 blk, 0.81 TO, 1.42 PF, -0.44 +/-, 7.63 pts] FANDUEL: 14.41, SF, 3500, 12.23
Omer Asik: [13.49 mins, 1.29/2.56 fg, 0.02/0.02 3p, 0.33/0.78 ft, 0.85 dreb, 2.56 oreb, 3.63 reb, 0.56 ast, 0.31 stl, 0.29 blk, 0.52 TO, 2.07 PF, -1.24 +/-, 3.00 pts] FANDUEL: 8.89, C, 3500, 11.59
Jerryd Bayless: [29.74 mins, 4.16/8.88 fg, 1.83/4.93 3p, 1.97/1.98 ft, 0.60 dreb, 2.53 oreb, 2.85 reb, 2.45 ast, 0.69 stl, 0.11 blk, 0.94 TO, 2.07 PF, -0.77 +/-, 11.13 pts] FANDUEL: 18.86, PG, 4400, 19.71
Marcus Smart: [25.32 mins, 3.45/8.29 fg, 1.45/3.61 3p, 1.44/2.51 ft, 1.13 dreb, 3.33 oreb, 4.59 reb, 1.97 ast, 1.81 stl, 0.29 blk, 1.27 TO, 1.88 PF, 0.47 +/-, 9.45 pts] FANDUEL: 20.84, PG, 4400, 21.27
DeAndre Jordan: [34.50 mins, 5.36/9.68 fg, 0.02/0.02 3p, 3.38/7.01 ft, 2.58 dreb, 8.24 oreb, 11.71 reb, 1.72 ast, 0.69 stl, 1.37 blk, 1.27 TO, 2.65 PF, 1.74 +/-, 14.23 pts] FANDUEL: 33.70, C, 8400, 35.68
Kosta Koufos: [14.71 mins, 2.15/4.68 fg, 0.02/0.02 3p, 0.97/0.80 ft, 0.85 dreb, 2.71 oreb, 3.76 reb, 0.66 ast, 0.31 stl, 0.30 blk, 0.81 TO, 1.51 PF, -0.44 +/-, 5.87 pts] FANDUEL: 11.78, C, 3500, 14.95
Sasha Vujacic: [16.40 mins, 2.06/4.23 fg, 0.78/1.77 3p, 0.79/0.42 ft, 0.60 dreb, 1.83 oreb, 2.31 reb, 1.18 ast, 0.47 stl, 0.16 blk, 0.81 TO, 0.97 PF, 0.49 +/-, 5.33 pts] FANDUEL: 10.34, SG, 3500, 8.32
Robin Lopez: [28.69 mins, 4.44/8.73 fg, 0.02/0.02 3p, 2.29/2.51 ft, 1.67 dreb, 5.51 oreb, 7.58 reb, 1.94 ast, 0.47 stl, 2.53 blk, 1.27 TO, 2.07 PF, -0.86 +/-, 12.19 pts] FANDUEL: 28.95, C, 5600, 22.16
Kelly Olynyk: [22.66 mins, 3.80/8.08 fg, 0.78/2.75 3p, 1.84/1.98 ft, 0.96 dreb, 3.11 oreb, 4.19 reb, 1.83 ast, 0.47 stl, 0.66 blk, 1.27 TO, 2.24 PF, 2.11 +/-, 10.41 pts] FANDUEL: 19.19, C, 4200, 18.98
Darren Collison: [31.65 mins, 5.38/11.46 fg, 1.37/3.65 3p, 2.58/3.25 ft, 0.49 dreb, 2.42 oreb, 2.57 reb, 3.94 ast, 0.69 stl, 0.11 blk, 1.27 TO, 2.03 PF, -0.67 +/-, 14.97 pts] FANDUEL: 24.28, PG, 5500, 22.54
Branden Dawson: [2.52 mins, 0.27/0.57 fg, 0.02/0.02 3p, 0.01/0.21 ft, 0.31 dreb, 0.25 oreb, 0.45 reb, 0.05 ast, 0.10 stl, 0.04 blk, 0.13 TO, 0.16 PF, -0.02 +/-, 0.56 pts] FANDUEL: 1.34, PF, 3500, 2.53
